"No";"Nombre";"Tipo";"Región";"Tipología";"Titular";"Inversión(MMU$)";"FechaPresentaciónFecha deIngreso(*)";"Estado";"url";"id";"url_mapa";"Longitud";"Latitud";"Calificado";"n_documentos";"n_adendas";"n_participacion";"Tipo_proyecto";"Descripcion";"Ano_Ingreso"
71;"Pequeña Hidroeléctrica de Pasada Huequecura";"EIA";"Octava";"c";"Compañía Eléctrica Los Morros S. A.";"9,6500";"12/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150709224";"2150709224";"https://seia.sea.gob.cl/mapa/info.php?id=2150709224&name=0";-71,714667;-37,654839;"En Calificación";19;0;0;"Centrales generadoras de energía mayores a 3 MW";"El proyecto corresponde a una pequeña hidroeléctrica de pasada de 3,3 MW de potencia instalada, que utilizará las aguas del río Huequecura, a 25 km de la Comuna de Santa Bárbara, Provincia del Biobío, Región del Biobío, específicamente en el Fundo Las Bandurrias Lote A2, a 25 km de la comuna de Santa Bárbara. Este tipo de central es conocida internacionalmente como Energía Renovable No Convencionales (ERNC) debido a su bajo impacto sobre los recursos utilizados.
 
La bocatoma de la central se ubicará aguas arriba de la confluencia del rio Huequecura con el río Quillaileo. Está diseñada para captar un caudal de diseño de 10 m3/s (sujeto al caudal disponible del río en el punto de captación) el que será conducido por medio de una tubería de acero de una longitud de 1,7 km hasta llegar a la casa de máquinas. Finalmente, el caudal de diseño es devuelto al rio Huequecura aguas abajo de su confluencia con el rio Quillaileo por medio de una obra de restitución.
 
En cuanto a la generación de energía, el proyecto instalará, en la casa de máquinas, 2 turbinas tipo crossflow con una potencia máxima de 1,65 MW. Dichas turbinas cuentan con la característica de estar divididas en 2 partes, la división de las cámaras de entrada estándar es de 1:2. La (1) cámara más estrecha trabaja los caudales pequeños y la (2) cámara grande los medianos. Las dos cámaras en conjunto trabajan los caudales grandes y el de diseño.
El proyecto además habilitará caminos de acceso desde la casa de máquinas hasta la bocatoma.
 
La energía generada será inyectada a la línea de transmisión de 23 kV del sector Quillaileo, propiedad Coopelan S.A. Desde el empalme, la línea de transmisión recorre 19 km hasta llegar a la futura subestación Los Notros (que no es parte de este Proyecto), la cual se encontraría frente al embalse de la Central Angostura de Colbún S.A. (ribera sur del río Biobío), donde la energía es incorporada al Sistema Eléctrico Nacional (SEN).
Para cumplir este fin, el proyecto cuenta con derechos de agua no consuntivos otorgados por la DGA mediante Resolución N°153/2012 con un caudal máximo de 16,54 m3/s.ObjetivoEl objetivo del proyecto es construir y operar una pequeña central hidroeléctrica de pasada, de una potencia instalada de 3,3 MW, a partir de la utilización no consuntiva de los recursos hídricos del río Huequecura, para generar energía limpia y renovable, la que será entregada al Sistema Eléctrico Nacional (SEN), aportando a la diversificación energética del país. Esto será posible mediante el aprovechamiento del derecho de agua no consuntivo que posee el Titular, otorgado mediante Res. Ex. N°153/2012 DGA de la Región del Biobío.
El Proyecto tiene por objetivo aprovechar el caudal del río Huequecura en el tramo comprendido por el proyecto para la generación de energía eléctrica, mediante el aprovechamiento de los derechos de agua indicados anteriormente, que requieren de la ejecución de un conjunto de obras y actividades, que permiten alcanzar un potencial de generación máxima de 3,3 MW, que serán inyectados al Sistema Eléctrico Nacional.
 
La ejecución del proyecto pretende potenciar la producción de energía limpia aprovechando los recursos renovables de la zona y de esta manera contribuir a la disminución de generación proveniente de fuentes de energía convencionales y, por tanto, aumentando la participación de las Energías Renovables No Convencionales (ERNC) en la matriz energética del país.";"2021"
72;"Rotonda Villarica";"DIA";"Novena";"h1";"Inmobiliaria Altas Cumbres S.A.";"48,5437";"11/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150724713";"2150724713";"https://seia.sea.gob.cl/mapa/info.php?id=2150724713&name=0";-72,21486;-39,2921;"En Calificación";28;0;0;"Proyectos inmobiliarios";"El proyecto “Rotonda Villarrica” ingresado a evaluación por medio de la presente DIA, contempla la construcción y entrega de un conjunto habitacional de 3 edificios, uno de 5 pisos y dos de 8 pisos. El Proyecto contará con 320 departamentos habitacionales, 353 estacionamientos vehiculares distribuidos entre el nivel -3 y el primer piso, 162 estacionamientos para bicicletas y 14 locales comerciales.
Los metros cuadrados totales construidos serán 28.156,99 m2 y se emplazará en un predio que totaliza una superficie de 13.820 m2, donde se incorporarán áreas verdes y espacios comunes con el objeto de brindar un entorno más amigable a los futuros propietarios.
 
El Proyecto tendrá una duración de 45 meses y considera tres etapas constructivas, las cuales se evalúan íntegramente en la presente DIA. A continuación, se describe cada una de las etapas constructivas.
 
Etapa Nº 1: Esta etapa contempla la construcción de un edificio habitacional de 5 pisos y 3 subterráneos. Considera 84 departamentos y 56 estacionamientos. La superficie construida es de 7.172,56 m2 y la superficie predial es de 3.740 m2.
 
Etapa Nº 2: Esta etapa contempla la construcción de un edificio habitacional de 8 pisos y 3 subterráneos. Considera 108 departamentos y 157 estacionamientos. La superficie construida es de 10.882,52 m2 y la superficie predial es de 4.239 m2.
 
Etapa Nº 3: Esta etapa contempla la construcción de un edificio habitacional de 8 pisos y un subterráneo más la construcción de 14 locales comerciales. Considera 108 departamentos y 157 estacionamientos vehiculares para residentes y 32 estacionamientos para locales comerciales. La superficie construida es de 10.882,52 m2 y la superficie predial es de 5.841 m2.ObjetivoEl objetivo del Proyecto es proveer nuevas soluciones habitacionales en la comuna de Villarrica, para satisfacer la demanda actual de viviendas en el sector e incorporar servicios cercanos a la comunidad. Este consiste en la construcción de 320 departamentos, 353 estacionamientos vehiculares y 162 estacionamientos para bicicletas. Los metros cuadrados totales a construir son 28.156,99 m2 aproximadamente en un predio de 13.820 m2.";"2021"
73;"Remodelación Planta de Proceso MOWI Chile S.A., Puerto Chacabuco";"DIA";"Undécima";"n5";"Mowi Chile S.A";"6,0000";"11/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150724786";"2150724786";"https://seia.sea.gob.cl/mapa/info.php?id=2150724786&name=0";-72,821451;-45,462009;"En Calificación";31;0;0;"Producción anual de engorda de peces 8 ton o cultivo de microalgas y/o juveniles de otros recursos hidrobiológicos que requieran el suministro y/o evacuación de aguas de origen continental, marina o estuarina, cualquiera sea su producción anual";"El Proyecto “Remodelación Planta Proceso MOWI Chile S.A, Puerto Chacabuco” que se presenta a evaluación, corresponde a la modificación de la Planta de Proceso de MOWI, para alcanzar una capacidad de materia prima a procesar, hasta 5.400 piezas/horas, equivalente a 27 ton/h. Para lo cual, se realizará la incorporación de mejoras tecnológicas disponibles, actividades de mejoramiento de espacios y reemplazos de equipos.Objetivo El Proyecto corresponde a la Remodelación de la Planta de Procesos MOWI Chile S.A., con la finalidad de alcanzar una capacidad de materia prima a procesar, hasta 5.400 piezas/horas, equivalente a 27 ton/h. Para ello, se requiere realizar obras de remodelación internas que apuntan a la implementación de mejoras tecnológicas disponibles, actividades de mejoramiento de espacios y reemplazos de equipos. Lo anterior, dentro de las instalaciones de la Planta ya existentes, por lo que no existirán nuevas construcciones.";"2021"
74;"MODIFICACIÓN DE PROYECTO TÉCNICO. CENTRO DE CULTIVO DE SALMÓNIDOS, CALEN 1.  CÓDIGO DE CENTRO N° 100591";"DIA";"Décima";"n3";"Cermaq Chile S.A.";"5,0000";"11/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150678709";"2150678709";"https://seia.sea.gob.cl/mapa/info.php?id=2150678709&name=0";-73;-42;"En Calificación";18;0;0;"Producción anual igual o mayor a (35ton) tratándose de equinodermos, crustáceos y moluscos no filtradores, peces y otras especies, a través de un sistema de producción intensivo";"El proyecto corresponde al aumento de producción de un centro de cultivo de recursos hidrobiológicos, específicamente un centro de cultivo de salmónidos, el cual cuenta con RCA favorable mediante Resolución Exenta N° 526 con fecha 7 de agosto de 2012. 
Actualmente este centro cuenta con otorgamiento de concesión por la Res. N° 879/1993. El centro de cultivo tiene asignado el código de centro N° 100591.
El presente proyecto es una modificación del Proyecto Técnico, PERT 211103049, en el cual se pretende aumentar la producción máxima por ciclo de 3.750 toneladas a 5.000 toneladas anuales mediante el Proyecto Técnico, PERT 221103003, ingresado a Sernapesca el 5 de enero de 2021 Para ello se modificará el número y tipo de balsas jaulas, ya que según el Proyecto Técnico vigente se indica el uso de 16 jaulas cuadradas de 30 m x 30 m x 16 m, las que serán reemplazadas por 12 jaulas cuadradas de 40 m de largo x 40 m de ancho x 20 m de profundidad para ejecutar la fase de cultivo.
El proyecto se encuentra localizado en la Región de Los Lagos, provincia de Chiloé, comuna de Dalcahue, específicamente al sur de Punta Pelu.  ObjetivoEl proyecto corresponde a la ampliación de biomasa del centro de cultivo de salmónidos CALEN 1, cuyo objetivo es obtener un incremento de producción desde 3.750 toneladas hasta 5.000 toneladas/año en una concesión de acuicultura de 20 hectáreas.

Para lo anterior se considera el uso de 12 balsas jaulas de 40 m de largo x 40 m de ancho x 20 m de profundidad. Asimismo, el proyecto contará con una plataforma con habitabilidad aproximada para unas 10 personas, la cual además considera ser bodega de almacenamiento de insumos, materiales y sistema de ensilaje, en caso de que este no se ubique en una plataforma independiente, en cuyo caso se contempla además la instalación de una plataforma de mortalidad diseñada para la implementación de un sistema de ensilaje de uso exclusivo del centro. De acuerdo con esto, el proyecto contempla instalaciones únicamente en el mar.";"2021"
75;"Depósito de ripios y cobertura superficial del tranque de relaves, Planta José Antonio Moreno, ENAMI - Taltal";"DIA";"Segunda";"i3";"Empresa Nacional de Minería";"2,1120";"10/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150660822";"2150660822";"https://seia.sea.gob.cl/mapa/info.php?id=2150660822&name=0";-70,456362;-25,387862;"En Calificación";31;0;0;"Proyectos de disposición de residuos y estériles";"La Planta José Antonio Moreno, está ubicada en la ciudad de Taltal, a 309 Km de la ciudad de Antofagasta, en la región de Antofagasta.
Actualmente y a través del presente Proyecto, ENAMI busca llevar a cabo un depósito de ripios acotado a una cobertura superficial del tranque de relaves que se encuentra en la Planta Secundaria, lo anterior puesto que dicho tranque se encuentra fuera de operación.
Este proyecto tiene la particularidad que en el futuro será también una medida de cierre del tranque, lo que permitirá asegurar la estabilidad física y química de este. 
  En términos generales, el depósito de ripios tendrá una altura de 2,44 m, permitiendo depositar un total de 287.870 m3 de ripios lavados equivalente a 518.166 t, teniendo en cuenta una densidad de 1,8 t/m3. Es necesario mencionar, que este depósito contará con un sistema de impermeabilización basal y sistema de drenaje para evitar que posibles lixiviados lleguen a suelo natural. ObjetivoLas actividades que se presentan a evaluación ambiental tienen como objetivo la implementación de un depósito de ripios de lixiviación sobre la cubeta del tranque de relaves de la Planta José Antonio Moreno, que a su vez será una cobertura que protegerá la cubeta del tranque de la erosión eólica e hídrica y permitirá dar continuidad operacional de la faena minera.";"2021"
76;"Incorporación de Propiedad Minera- Faena Negreiros";"DIA";"Primera";"i1";"SCM COSAYACH YODO";"1.000,0000";"09/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150199719";"2150199719";"https://seia.sea.gob.cl/mapa/info.php?id=2150199719&name=0";-69,796066;-19,975318;"En Calificación";24;0;0;"Proyectos de desarrollo minero sobre 5.000 ton/mes";"El Proyecto consiste en la incorporación de propiedad minera para su explotación, lo que permitirá la extensión de la vida útil de la Faena Minera Negreiros, cuyo objetivo es la explotación de caliche y su posterior procesamiento mediante lixiviación en pilas desde donde se obtiene la “solución rica” que es enviada mediante sistema de tuberías a la Planta Química, para la obtención de una solución concentrada de yoduro.  

La tasa de extracción del mineral será de 1.000.000 t/mes de caliche, la misma ya aprobada según R.E. N°90/2014 “Aumento de Producción de Yodo Negreiros”. El mineral se extraerá desde yacimientos mineros divididos en dos macrozonas: una ubicada en sector de “Chinquiquiray”, a 32 km al Noroeste de la localidad de Huara en donde se encuentra en operación el proyecto actual, y otra en sector de “Huara” ubicada a 1 km al Oeste de la localidad de Huara.
Cabe mencionar que los procesos que se llevan a cabo en Planta Química Faena Negreiros no serán modificados en cuanto a su operación, ni tampoco se modificará la tasa de producción correspondiente a 22.000 m3/año de solución concentrada de yoduro, la cual será destinada a la planta refinadora de Faena Cala-Cala para producir 2.500 t/año de yodo.
  
 Tal y como se mencionó, la explotación de caliche se realizará desde dos macrozonas: Chinquiquiray y Huara. Para iniciar la explotación en Chinquiquiray no se requiere de obras o instalaciones de apoyo, ya que dada su ubicación puede seguir utilizando las mismas instalaciones con que cuenta el proyecto actualmente en operación, conforme a lo autorizado por R.E. N°90/2014. Por su parte, para la explotación del sector en Huara se requiere de la habilitación de obras e instalaciones previo a su ejecución.
Una vez que el mineral sea extraído desde el yacimiento será enviado a las pilas de lixiviación, las cuales serán irrigadas con una solución lixiviante compuesta por agua de mar y soluciones de descarte de la Planta Química con el objetivo de obtener una solución rica. Posteriormente, la Planta Química ubicada en la misma Faena Negreiros, recibirá la solución rica generada a partir de la lixiviación del caliche, transformándola de yodato a yoduro. La operación de esta planta continuará realizándose conforme a lo aprobado ambientalmente.
Finalmente, desde la planta química se generan tres soluciones: la solución de yoduro que será transportada a la planta refinadora de yodo ubicada en Faena Cala-Cala, cuya actividad no forma parte del desarrollo del presente Proyecto[1], una solución de descarte, la cual es enviada a piscinas que se encuentran en el mismo sector de la planta química, y una solución que es recirculada al sistema de riego de las pilas de lixiviación. 
  


Faena Negreiros opera desde el año 1996, y actualmente cuenta con las siguientes autorizaciones:
Resolución Nº 848 de fecha 2 de septiembre de 1996 del Servicio Nacional de Geología y Minería que aprueba el Proyecto de Construcción y Operación de la Planta de Yodo Negreiros.
    Resolución Exenta N°90 de fecha 11 de septiembre de 2014 del Servicio de Evaluación Ambiental, Región de Tarapacá, que aprueba la DIA del proyecto “Aumento de Producción de Yodo Negreiros”, que estableció la operación de la Faena Negreiros a una tasa de extracción de caliche de 1.000.000 t/mes y de 22.000 m3/año de producción de yoduro. 
    Resolución Exenta Nº 1732 de 2015, del Servicio Nacional de Geología y Minería que aprueba el método de explotación.
En el año 2016 el Titular presentó una Consulta de pertinencia, resuelta mediante Resolución Exenta Nº 108 de fecha 29 de diciembre de 2016 del Servicio de Evaluación Ambiental, Región de Tarapacá, la cual indica que el proyecto “Aumento de Producción de Yodo Negreiros” no requiere ingresar al Sistema de Evaluación de Impacto Ambiental de manera previa a su ejecución. El objetivo de este proyecto es incorporar al proceso la obtención de nitratos.
 Las resoluciones antes mencionadas se adjuntan en Anexo 1-2 de la presente DIA.
 
 


[1] El proyecto “Aumento Producción de Yodo Cala-Cala SCM Cosayach” aprobado por R.E. N° 91/2013 considera el transporte de solución de yoduro hacia la planta refinadora de yodo ubicada en Faena Cala-Cala.



 Objetivo 
El objetivo del Proyecto consiste en:
 

    Incorporar nuevas propiedades mineras para la explotación de caliche en Faena Negreiros, manteniendo la actual tasa de extracción de 1.000.000 t/mes de caliche y de 22.000 m3/año de producción de yoduro.
    
    
Extender la vida útil de las partes, obras y acciones existentes.";"2021"
77;"Cancha Nitrato de Amonio 2";"DIA";"Cuarta";"ñ4";"EXPLONOR S.A.";"0,1200";"08/02/2021";"No Admitido a Tramitación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2148998341";"2148998341";NA;NA;NA;"No Admitido a Tramitación";3;0;0;"Producción, disposición o reutilización de sustancias corrosivas o reactivas, (sustancias señaladas en las clases 5 de la NCh. 382, Of. 2004)";"

El Proyecto “Cancha 2 de Nitratos” contempla la construcción de una cancha de superficie plana que corresponde al mismo suelo compactado. La cancha tendrá noventa metros en su parte más ancha por trescientos metros de largo, cercados por un parapeto de tierra y un cerco de malla y alambre de púas. Contará con una red anti incendio y una sombra de malla raschel.
La capacidad máxima de almacenamiento de la cancha de nitrato proyectada está definida por las distancias de seguridad que debe mantener respecto de otras instalaciones cercanas y corresponderá a 9.504 toneladas, dispuestas en 20 islas separadas de 475,2 toneladas cada una formadas por 432 maxi-sacos de 1,1 toneladas cada uno apilados sobre pallets de madera para aislar los envases del suelo.
El almacenamiento se realiza en forma ordenada y fraccionada en lotes denominados “islas”, las que no deben superar una capacidad de 500 toneladas y deben estar separadas entre sí por algún elemento incombustible que actúe eventualmente como “muro cortafuego”.
En este caso en particular, las instalaciones del recinto proyectado, deben ser construcciones “livianas”, no permanentes, con carácter de provisorias e idealmente desmontables en un cien por ciento. Por esta razón se ha propuesto utilizar como separadores entre islas, una serie de contenedores marítimos, vacíos, de 40 pies (12 ml) alineados y ordenados de dos en dos con una separación entre líneas de 15 m. lo que conforma una isla de dimensiones 15x24 m2, con un total de 20 islas ordenadas en dos filas paralelas, por lo que cada fila tendrá diez islas. En el centro de ambas filas y a lo largo de la cancha se dejará un corredor para maniobras de 20 m de ancho para el ingreso de camiones y la operación de carga y descarga de la grúa-horquilla.
Para mantener el carácter de construcción provisoria y desmontable, se ha propuesto montar sobre los contenedores unos marcos metálicos tipo reticulado, para instalar unos cables de acero como tensores (continuos) para soportar paños de malla raschel que produzcan sombra y mayor cobertura a los maxi-sacos de nitrato de amonio.
 
Complementariamente a las instalaciones de almacenamiento propiamente tal, se instalarán elementos que conforman sistema de seguridad, como:
 
-  Cerco de malla perimetral soportado por polines de madera
-  Dos antenas tubulares metálicas de aprox. 15 m de altura con un pararrayos en los extremos
-  Una red húmeda contra incendios con 10 gabinetes con pistones hidrantes de alta presión
-  Portón de acceso y señalética según normativaObjetivoAlmacenar de manera temporal 9.504 toneladas de nitrato de amonio";"2021"
78;"Data Center Chile 2";"DIA";"RM";"ñ3";"Ascenty Chile SpA";"150,0000";"08/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150658104";"2150658104";"https://seia.sea.gob.cl/mapa/info.php?id=2150658104&name=0";-76,706;-33,336;"En Calificación";27;0;0;"Producción, disposición o reutilización de sustancias inflamables, (sustancias señaladas en la Clase 2 División 2.1, 3 y 4 de la NCh. 382, Of. 2004)";"El Proyecto de infraestructura energética “Data Center Chile 2”, corresponde a un centro de almacenamiento de datos tecnológicos de alta tecnología (también denominado “Data Center”), diseñado con una infraestructura acorde para alojar distintos sistemas de tecnología de información (TI), los que tienen como función el procesamiento y almacenamiento de datos de diversas empresas. El Data Center contará con 30 grupos electrógenos con sus respectivos estanques de combustible para almacenar un total de 663.000 kg de petróleo diésel, 10 salas de datos, área de oficinas y recepción, 1 sala técnica, 24 cuerpos chillers, 10 salas eléctricas, 2 salas de mantención, 2 salas de almacenamiento y estacionamientos vehiculares. La superficie construida corresponde a 21.978,12 m2 sobre una superficie de terreno total aproximada de 48.018,00 m2, situado en el condominio industrial de propiedad de la sociedad “Agrícola e Inversiones Kurcula Sociedad Anónima”, quien tiene un terreno con una superficie predial total aproximada de 85.756,89 m2, conformada por 3 Unidades. Actualmente la sociedad “Agrícola e Inversiones Kurcula Sociedad Anónima” le ha arrendado la Unidad 3 (parte sur de la copropiedad) a Ascenty Chile SpA según escritura de contrato privado entre las partes.

La vida útil del proyecto se estima de un total de 26 años y 3 meses, considerando que su construcción se desarrollará en un año, su operación se extenderá por 25 años, y su fase de cierre tendrá una duración de 3 meses. Objetivo
El objetivo del Proyecto es proporcionar, por medio de la construcción y operación de un Data Center, la entrega de servicios de almacenamiento de datos tecnológicos a diversas empresas, tanto a nivel local como mundial.";"2021"
79;"Mirador Santa Sofía";"DIA";"RM";"h1";"Inmobiliaria Santa Sofía SpA";"150,0000";"05/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2149274883";"2149274883";"https://seia.sea.gob.cl/mapa/info.php?id=2149274883&name=0";-76,547776;-33,361024;"En Calificación";34;0;0;"Proyectos inmobiliarios";"El Proyecto “Mirador Santa Sofía”, objeto de la presente Declaración de Impacto Ambiental, consiste en la construcción de un conjunto residencial compuesto por un total de 65 viviendas distribuidas en 5 edificios, con sus respectivos espacios comunes, a emplazarse en una superficie de 6,9 ha; además de la construcción de bienes nacionales de uso público (BNUP) que consideran vialidad, áreas verdes y equipamiento municipal en una superficie de 0,8 ha.

El Proyecto se emplaza en un área total de 7,7 hectáreas al interior de un predio de 13,1 hectáreas, ubicado en la ladera oriente del Cerro Manquehue Chico, en la comuna de Lo Barnechea, provincia de Santiago, Región Metropolitana, y constituye una primera etapa de evaluación a desarrollar al interior del predio señalado. La segunda etapa consistirá en el desarrollo de un proyecto habitacional futuro y su correspondiente urbanización, cuyas obras corresponden a una futura etapa de evaluación que se someterá al SEIA considerando los efectos acumulativos y sinérgicos señalados en el artículo 11 ter de la ley 19.300, y que no forman parte del alcance de las obras de la presente DIA, lo que se explica en mayor detalle en el acápite 1.2.8 del presente Capítulo. 
El Proyecto “Mirador Santa Sofía” es un proyecto habitacional de vanguardia, situado en una zona urbanizable de uso residencial, cercana a grandes avenidas, centros comerciales y otras áreas de servicio. Los 5 edificios a construir están diseñados en terrazas manteniendo la línea del cerro Manquehue Chico no interfiriendo en la vista del sector, y contarán con espacios comunes, entre los que destacan casi 4 hectáreas de áreas verdes que los rodearán; una portería; redes de agua potable, eléctrica y de gas natural; ductos de telecomunicaciones; colectores de aguas lluvia y vialidad interior.

Como parte del proyecto, se contempla la materialización de un área verde pública de 2.410 m2 que tendrá un gimnasio al aire libre con máquinas y barras de ejercicio, y estará dotado también de bancas, basureros, bebederos de agua e iluminación, además de accesibilidad para personas en silla de ruedas. 
El proyecto contará con un único ingreso vehicular y peatonal por Av. Manquehue Oriente, a la cual se accede desde la Av. José Alcalde Délano. Así, la vialidad de esta iniciativa considera la construcción de la extensión de Av. Manquehue Oriente y de una nueva vía, llamada Calle 1, por la que ingresarán propietarios y visitas Mirador Santa Sofía.
Se habilitarán 242 estacionamientos al interior del condominio de edificios. Adicionalmente se instalarán seis estacionamientos públicos para el parque exterior, totalizando 248 estacionamientos. ObjetivoEl objetivo del presente Proyecto es proveer de oferta habitacional en la comuna de Lo Barnechea, mediante la construcción de 65 unidades habitacionales.";"2021"
80;"Edificio Américo Vespucio";"DIA";"RM";"h1";"Calcurrupe Desarrollo SpA";"41,0000";"05/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150686459";"2150686459";"https://seia.sea.gob.cl/mapa/info.php?id=2150686459&name=0";-70,598664;-33,523634;"En Calificación";23;0;0;"Proyectos inmobiliarios";"El proyecto “Edificio Américo Vespucio” corresponde a un proyecto inmobiliario a emplazarse en la comuna de La Florida, Región Metropolitana, específicamente en Avenida Vicuña Mackenna N°7585 a N°7589, el cual corresponde a la construcción de un edificio de 27 pisos más cubierta y dos niveles de subterráneos, en donde se considera la habilitación de un total de 466 departamentos, 202 estacionamientos y 8 locales comerciales.
 
Los accesos vehiculares y peatonales se localizan por las avenidas Américo Vespucio y Vicuña Mackenna. Todo lo anterior en una superficie de terreno neta igual a 4.515 m2.
 
El proyecto cuenta con un Anteproyecto de Edificación N°263, aprobado por la Dirección de Obras Municipales de la Ilustre Municipalidad de La Florida, con fecha 04 de marzo del 2020, el cual se encuentra en el Anexo 02. Antecedentes técnicos de la DIA.
 
Cabe mencionar que el terreno hoy en desuso, era una bomba bencinera, la cual será demolida para desarrollar el proyecto.
 
A continuación, se muestra una imagen con el render del proyecto:
 Figura  1. Render desde Av. Américo Vespucio con Av. Vicuña Mackenna hacia el proyecto

Fuente: Información proporcionada por el Titular
ObjetivoEl objetivo del proyecto es proponer una solución habitacional distinta con el fin de aportar a la demanda existente, complementando además el auge de desarrollo inmobiliario del sector, mediante la construcción de un edificio de 27 pisos de altura y 2 niveles de subterráneo. Cabe mencionar, además, que la ubicación del Proyecto se encuentra cercana a la Estación de Metro de Santiago “Mirador” de la Línea 5, que, junto a la cercanía con distintos paraderos del Transantiago, le brinda un atractivo especial, por la cercanía de sus futuros habitantes con el transporte público de la ciudad de Santiago.";"2021"
81;"Planta Astilladora Coala Calbuco 2";"DIA";"Décima";"m2";"Coala Industrial Ltda";"2,0000";"04/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150673657";"2150673657";"https://seia.sea.gob.cl/mapa/info.php?id=2150673657&name=0";-73,202582;-41,786907;"En Calificación";22;0;0;"Plantas astilladoras";"Coala Industrial Ltda. es una empresa, que desde 1990, presta servicios industriales a empresas del rubro forestal.
Chile es el principal exportador de astillas a Japón en el mundo, el cual es un mercado conocido por sus altas exigencias. La calidad de la astilla chilena cuenta con una alta reputación que trasciende las fronteras de este país, generando nuevas oportunidades de exportación que dinamiza el mercado nacional con nuevos puestos de empleo y aumento de actividad portuaria en la zona.
Se contempla la producción de astillas de maderas proveniente de plantaciones de la Región de Los Lagos y, eventualmente de la Región Los Ríos.
Debido a un nuevo contrato comercial y de acuerdo a las características del negocio, las que requiere coordinaciones con la exportación de la astilla que tiene plazos de entrega acotados y puede superponerse entre distintos clientes, el titular se ve en la necesidad de instalar una nueva Planta para poder cumplir con el nuevo contrato.
El proyecto considera sólo el servicio de astillado de clientes que harán llegar su madera (cada cliente, se hará responsable del traslado de la madera desde los predios de origen). Por otra parte, una vez realizado el servicio de astillado, este se despacha directamente a través de una cinta confinada a la zona de acopio de astillas del Terminal San José, de Portuaria Cabo Froward. Cabe señalar que el servicio de exportación es un trato directo entre el cliente y el Terminal portuario, sin ser parte de las actividades contempladas en el presente proyecto.
El proyecto no considera acopio de trozos, ya que la alimentación al sistema se realizará directamente desde los camiones transportadores de madera. Contempla un sistema productivo, mediante la modalidad de campañas, con una producción máxima anual correspondiente a 350.000 BDMT.ObjetivoEl objetivo de este proyecto es construir y operar una planta de producción de astillas para prestar servicios de astillado a partir de plantaciones de la Región de Los Lagos y, en caso que se requiera de la Región de Los Ríos.
El proyecto, contempla una capacidad máxima anual de 350.000 BDMT de astillas, para lo cual se estima una cantidad de 413.000 MR al año de materia prima. Lo anterior, equivale a una producción aproximada de 146,3 m3 ssc/h.
El alcance del proyecto es prestar únicamente servicios de astillado a terceros. El transporte de la madera, el acopio de ésta y la exportación de las astillas, no están consideradas dentro del presente proyecto, puesto que estarán a cargo de cada cliente.";"2021"
